Date,Open,High,Low,Close
2016-05-12,8340.79,8346.64,8290.06,8297.97
2016-05-13,8299.04,8353.88,8289.2,8341.13
2016-05-16,8352.19,8408.6,8346.71,8395.02
2016-05-17,8347.22,8377.92,8304.46,8335.35
2016-05-18,8374.78,8387.91,8325.29,8336.44
2016-05-19,8289.28,8296.96,8224.2,8234.65
2016-05-20,8252.53,8259.28,8216.57,8250.22
2016-05-23,8215.93,8237.87,8199.12,8211.85
2016-05-24,8201.39,8217.4,8152.57,8158.95
2016-05-25,8051.37,8078.84,8016.12,8020.74
2016-05-26,8040.89,8096.97,8037.46,8057.92
2016-05-27,8018.44,8035.33,7954.75,8001.17
2016-05-30,7943.77,7949.96,7900.37,7948.49
2016-05-31,7976.87,8004.49,7973.82,7985.23
2016-06-01,8021.5,8040.62,8004.71,8011.72
2016-06-02,7992.15,8019.12,7976.79,8008.94
2016-06-03,7962.1,7997.88,7958.63,7993.11
2016-06-06,8178.7,8179.4,8141.43,8150.93
2016-06-07,8179.16,8193.84,8149.3,8158.29
2016-06-08,8181.41,8244.85,8172.29,8240.54
2016-06-13,8436,8480.14,8400.94,8474.79
2016-06-14,8463.4,8470.57,8424.33,8445.62
2016-06-15,8494.47,8503.3,8457.68,8464.08
2016-06-16,8533.4,8650.23,8530.25,8598.15
2016-06-17,8450.94,8487.37,8419.29,8480.95
2016-06-20,8508.93,8508.93,8434.09,8458.4
2016-06-21,8499.43,8524.31,8434.8,8440.06
2016-06-22,8370.59,8385.38,8320.77,8341.72
2016-06-23,8311.87,8381.06,8302.35,8344.44
2016-06-24,8366.3,9012.95,8340.5,8739.84
2016-06-27,8850.85,8871.95,8812,8853.48
2016-06-28,8855.51,8859.33,8746.76,8747.9
2016-06-29,8776.66,8830.08,8772.21,8786.07
2016-06-30,8758.19,8809.92,8747.17,8773.29
2016-07-01,8822.2,8926.5,8808.5,8892.84
2016-07-04,8952.09,9060.62,8948.89,9028.84
2016-07-05,9010.53,9034.47,8947.89,8997.27
2016-07-06,9122.81,9196.51,9116.65,9189.4
2016-07-07,9151.22,9181.09,9139.41,9140.41
2016-07-08,9118.12,9126.14,9072.44,9086.01
2016-07-11,9182.76,9191.58,9093.21,9109.58
2016-07-12,9086.22,9098.31,9043.43,9048.8
2016-07-13,8939.47,9001.44,8886.33,8962.3
2016-07-14,9008.16,9020.09,8871.97,8883.31
2016-07-15,8939.3,8941.25,8877.61,8917.27
2016-07-18,8938.09,8951.61,8879.19,8914.67
2016-07-19,8921.42,8949.78,8900.65,8933.87
2016-07-20,8946.84,8957.39,8852.72,8857.27
2016-07-21,8771.79,8838.49,8754.47,8826.6
2016-07-22,8894.5,8900.5,8827.05,8857.01
2016-07-25,8849.18,8851.92,8784.39,8807.25
2016-07-26,8806.17,8851.04,8785.07,8829.14
2016-07-27,8816.69,8821.94,8786.14,8815.66
2016-07-28,8932.55,8953.64,8910.3,8934.38
2016-07-29,8901.58,8949.02,8857.37,8884.52
2016-08-01,8947.83,8972.9,8930.28,8966.58
2016-08-02,8992.56,9043.6,8965.02,9034.52
2016-08-03,9051.7,9071.32,9037.54,9053.61
2016-08-04,9019.53,9024.09,8963.08,8979.08
2016-08-05,9044.55,9080.26,9035.37,9058.83
2016-08-08,8891.44,8925.57,8872.44,8882.25
2016-08-09,8913.43,8919.66,8876.96,8898.67
2016-08-10,8942.16,9017.7,8936.27,8983.08
2016-08-11,8949.81,8956.01,8910.87,8940.85
2016-08-12,8907.59,8921.48,8879.27,8894.31
2016-08-15,8903.63,8924.99,8890.42,8901.67
2016-08-16,8919.08,8968.64,8912.33,8959.45
2016-08-17,8933.73,8938.36,8900.67,8914.88
2016-08-18,8969.67,8987.41,8934.35,8957.83
2016-08-19,8957.1,8984,8929.59,8962.12
2016-08-22,8909.02,8916.3,8874.93,8891.67
2016-08-23,8908.72,8935.13,8888.85,8916.48
2016-08-24,8909.07,8930.1,8900.64,8912.81
2016-08-25,8847.73,8851.25,8819.52,8826.72
2016-08-26,8817.49,8864.47,8811.37,8863.8
2016-08-29,8845.94,8850.15,8796.91,8817.91
2016-08-30,8854.12,8862.11,8823.6,8824.63
2016-08-31,8782.4,8802.91,8772,8790.05
2016-09-01,8763.35,8771.3,8726.12,8736.6
2016-09-02,8787.9,8794.33,8762.4,8781.87
2016-09-05,8859.08,8887.78,8846.19,8885.26
2016-09-06,8880.3,8906.97,8865.5,8906.3
2016-09-07,9001.42,9029.65,8986.54,8991.39
2016-09-08,8969.72,9002.85,8955.37,8991.94
2016-09-09,8928.39,8955.62,8921.42,8934.14
2016-09-12,8900.86,8901.73,8863.63,8882.61
2016-09-13,8893.32,8908.81,8877.13,8881.56
2016-09-14,8837.6,8839.57,8794.68,8832.92
2016-09-19,8731.03,8789.71,8722.01,8765.98
2016-09-20,8760.44,8796.57,8757.65,8784.81
2016-09-21,8791.58,8831.81,8737.45,8825.61
2016-09-22,8892.27,8906.88,8887.67,8899.42
2016-09-23,8934.76,8938.22,8904.43,8923.02
2016-09-26,8941.22,8948.9,8902.65,8928.78
2016-09-27,8939.01,8952.08,8908.37,8935.4
2016-09-28,8865.68,8868.69,8836.01,8856.92
2016-09-29,8845.25,8862.29,8821.36,8829.81
2016-09-30,8824.49,8865.53,8820.99,8854.29
2016-10-10,8450.71,8487.05,8431.94,8470.15
2016-10-11,8454.14,8481.27,8438.95,8449.53
2016-10-12,8442.02,8454.15,8424.59,8440.65
2016-10-13,8434.83,8499.07,8432.87,8484.64
2016-10-14,8462.25,8476.38,8432.03,8434.33
2016-10-17,8443.02,8470.97,8431.58,8461.36
2016-10-18,8471.06,8519,8465.91,8511.43
2016-10-19,8519.98,8567.25,8499.76,8565
2016-10-20,8558.88,8586.03,8551.29,8566.21
