as_of,open_interest,spec_long,spec_short,net_spec
2024-06-18,444345,287147,44063,243084
2024-06-25,452190,284885,38656,246229
2024-07-02,454730,280117,38574,241543
2024-07-09,516324,303043,48268,254775
2024-07-16,579862,349827,64803,285024
2024-07-23,572306,341600,68526,273074
2024-07-30,510914,313364,66763,246601
2024-08-06,480645,298119,59370,238749
2024-08-13,505872,328769,61505,267264
2024-08-20,532867,355551,64298,291253
2024-08-27,521759,343330,48885,294445
2024-09-03,511136,339157,51599,287558
2024-09-10,511501,340006,57505,282501
2024-09-17,537627,369734,59668,310066
2024-09-24,564640,387572,72182,315390
2024-10-01,533107,370051,70120,299931
2024-10-08,520316,348891,70711,278180
2024-10-15,541232,357494,71060,286434
2024-10-22,573760,371813,75609,296204
2024-10-29,579468,366636,87983,278653
2024-11-05,558034,336816,81487,255329
2024-11-12,535981,316225,79774,236451
2024-11-19,502952,309354,74987,234367
2024-11-26,472660,303401,53063,250338
2024-12-03,462040,307611,47875,259736
2024-12-10,483346,324332,48746,275586
2024-12-17,466571,302978,40937,262041
2024-12-24,454646,289416,41787,247629
2024-12-31,458584,282907,35628,247279
2025-01-07,477043,291721,36810,254911
2025-01-14,526467,312568,33205,279363
2025-01-21,571387,337289,36505,300784
2025-01-28,577505,338371,38962,299409
2025-02-04,542004,356500,53992,302508
2025-02-11,528719,343766,59262,284504
2025-02-18,522330,334043,65369,268674
2025-02-25,512179,316948,55323,261625
2025-03-04,489270,303132,59871,243261
2025-03-11,511276,296172,60072,236100
2025-03-18,533566,321654,63722,257932
2025-03-25,511482,316572,66776,249796
2025-04-01,498746,327936,89502,238434
2025-04-08,445468,269833,69118,200715
2025-04-15,456628,271707,69497,202210
2025-04-22,465351,258896,83518,175378
2025-04-29,451868,240377,77059,163318
2025-05-06,452414,237445,74948,162497
2025-05-13,440842,238191,76982,161209
2025-05-20,448000,238062,74081,163981
2025-05-27,437538,234087,59903,174184
2025-06-03,415941,246982,59077,187905
2025-06-10,417143,245995,58514,187481
2025-06-17,441214,260586,59938,200648
2025-06-24,434958,256077,61073,195004
2025-07-01,437662,258631,56651,201980
2025-07-08,443144,261685,58717,202968
